"date","percentReturn"
2014-09-12,100.40379
2014-09-19,99.71244
2014-09-26,99.50504
2014-10-03,98.389
2014-10-10,99.48528
2014-10-17,96.46309
2014-10-24,103.9198
2014-10-31,106.66544
2014-11-07,108.12981
2014-11-14,113.25806
2014-11-21,115.52958
2014-11-28,117.96971
2014-12-05,114.07144
2014-12-12,108.844
2014-12-19,110.87744
2014-12-26,113.0696
2015-01-02,108.44723
2015-01-09,111.10559
2015-01-16,105.13419
2015-01-23,112.06776
2015-01-30,116.214
2015-02-06,118.43529
2015-02-13,126.55139
2015-02-20,128.96132
2015-02-27,127.92565
2015-03-06,126.07338
2015-03-13,123.0759
2015-03-20,125.3763
2015-03-27,122.73732
2015-04-03,124.79871
2015-04-10,126.5713
2015-04-17,124.23108
2015-04-24,129.73807
2015-05-01,128.4136
2015-05-08,127.62
2015-05-15,128.77
2015-05-22,132.53999
2015-05-29,131.78
